FEDay,CBP,fYear,SurHat?
22,No,y2013,0
23,No,y2013,0
23,Yes,y2013,0
23,No,y2013,1
23,Yes,y2013,0
24,Yes,y2013,1
24,Yes,y2013,1
24,Yes,y2013,0
24,No,y2013,1
24,No,y2013,0
26,No,y2013,0
27,No,y2013,1
27,No,y2013,0
31,No,y2013,1
32,No,y2013,1
32,No,y2013,1
33,No,y2013,0
33,No,y2013,0
42,No,y2013,0
43,Yes,y2013,1
44,No,y2013,1
46,No,y2013,0
47,No,y2013,1
49,No,y2013,0
49,Yes,y2013,1
49,Yes,y2013,0
50,No,y2013,0
52,No,y2013,1
52,No,y2013,1
62,No,y2013,1
66,No,y2013,0
67,No,y2013,1
67,No,y2013,0
67,No,y2013,1
69,No,y2013,1
71,No,y2013,1
73,No,y2013,0
19,No,y2014,1
20,Yes,y2014,0
20,Yes,y2014,0
22,Yes,y2014,0
22,Yes,y2014,0
22,Yes,y2014,1
22,Yes,y2014,1
22,No,y2014,1
22,No,y2014,0
23,Yes,y2014,0
23,No,y2014,1
23,Yes,y2014,1
24,Yes,y2014,1
25,Yes,y2014,1
26,No,y2014,0
27,Yes,y2014,1
27,Yes,y2014,1
28,No,y2014,0
28,No,y2014,0
29,No,y2014,1
29,No,y2014,1
30,No,y2014,0
30,No,y2014,1
31,No,y2014,0
31,No,y2014,1
31,No,y2014,1
32,No,y2014,0
36,No,y2014,1
37,No,y2014,0
37,No,y2014,0
37,Yes,y2014,0
39,No,y2014,0
39,No,y2014,1
41,No,y2014,0
42,No,y2014,1
43,No,y2014,1
44,No,y2014,1
46,Yes,y2014,1
48,No,y2014,1
56,Yes,y2014,1
57,No,y2014,1
64,No,y2014,1
66,Yes,y2014,1
66,No,y2014,1
69,Yes,y2014,1
71,No,y2014,1
73,No,y2014,1
74,No,y2014,1
76,Yes,y2014,1
18,Yes,y2015,0
19,No,y2015,1
20,No,y2015,1
20,No,y2015,0
20,Yes,y2015,1
21,No,y2015,1
21,Yes,y2015,1
22,No,y2015,1
22,Yes,y2015,1
22,No,y2015,1
23,No,y2015,1
23,Yes,y2015,0
24,No,y2015,1
25,No,y2015,1
25,No,y2015,1
26,Yes,y2015,0
26,No,y2015,0
27,No,y2015,1
28,Yes,y2015,0
28,Yes,y2015,1
28,Yes,y2015,0
29,Yes,y2015,0
29,No,y2015,0
29,No,y2015,1
30,No,y2015,0
30,Yes,y2015,0
31,No,y2015,0
31,No,y2015,0
32,Yes,y2015,1
33,No,y2015,1
36,No,y2015,1
38,Yes,y2015,1
38,Yes,y2015,1
41,No,y2015,1
42,No,y2015,1
43,No,y2015,0
47,Yes,y2015,1
47,Yes,y2015,0
48,No,y2015,0
48,No,y2015,0
51,No,y2015,0
53,No,y2015,1
56,No,y2015,1
56,No,y2015,0
58,No,y2015,0
60,No,y2015,1
61,No,y2015,1
63,No,y2015,1
64,Yes,y2015,1
65,No,y2015,1
66,No,y2015,1
68,No,y2015,1
68,No,y2015,1
71,No,y2015,1
75,No,y2015,1
75,No,y2015,1
78,No,y2015,1
17,Yes,y2016,1
23,Yes,y2016,1
26,No,y2016,0
27,No,y2016,1
28,No,y2016,1
28,No,y2016,0
29,No,y2016,1
29,No,y2016,0
31,No,y2016,0
31,No,y2016,0
31,No,y2016,1
32,No,y2016,1
32,Yes,y2016,0
33,No,y2016,0
33,Yes,y2016,1
34,No,y2016,1
34,No,y2016,1
35,No,y2016,0
35,No,y2016,0
36,No,y2016,1
40,Yes,y2016,0
42,No,y2016,1
42,No,y2016,1
47,No,y2016,1
47,Yes,y2016,0
47,Yes,y2016,1
48,No,y2016,1
54,No,y2016,0
57,No,y2016,0
59,No,y2016,1
61,No,y2016,1
63,No,y2016,0
70,No,y2016,1
70,No,y2016,0
70,No,y2016,1
71,No,y2016,1
75,No,y2016,0
78,No,y2016,1
83,No,y2016,1
21,Yes,y2017,1
21,No,y2017,1
22,Yes,y2017,1
23,Yes,y2017,0
24,Yes,y2017,0
24,Yes,y2017,1
24,Yes,y2017,1
25,Yes,y2017,1
26,No,y2017,0
26,No,y2017,0
26,No,y2017,0
26,Yes,y2017,0
27,Yes,y2017,0
28,No,y2017,0
28,No,y2017,1
28,No,y2017,0
29,No,y2017,1
29,No,y2017,0
29,No,y2017,1
30,No,y2017,1
32,Yes,y2017,0
32,Yes,y2017,1
33,No,y2017,0
34,No,y2017,0
34,No,y2017,1
34,Yes,y2017,0
35,No,y2017,1
38,Yes,y2017,0
39,Yes,y2017,1
40,Yes,y2017,0
41,Yes,y2017,1
48,Yes,y2017,0
53,Yes,y2017,0
54,Yes,y2017,0
55,Yes,y2017,0
56,No,y2017,1
58,No,y2017,0
58,No,y2017,1
60,No,y2017,1
61,No,y2017,1
62,No,y2017,1
62,No,y2017,1
62,No,y2017,1
63,No,y2017,1
63,No,y2017,1
63,No,y2017,1
67,No,y2017,0
67,No,y2017,1
68,No,y2017,0
69,No,y2017,1
69,No,y2017,0
70,No,y2017,1
75,No,y2017,1
78,No,y2017,1
84,No,y2017,0
85,No,y2017,1
85,No,y2017,0
20,No,y2018,1
23,No,y2018,0
24,No,y2018,1
26,No,y2018,1
27,Yes,y2018,0
27,Yes,y2018,1
27,No,y2018,1
30,No,y2018,0
30,Yes,y2018,0
31,No,y2018,0
32,No,y2018,1
32,Yes,y2018,1
35,No,y2018,0
37,No,y2018,0
39,No,y2018,1
40,Yes,y2018,0
41,No,y2018,0
42,No,y2018,1
42,No,y2018,0
43,No,y2018,0
44,No,y2018,1
46,No,y2018,1
49,No,y2018,1
49,No,y2018,0
51,No,y2018,0
56,No,y2018,1
56,No,y2018,0
56,No,y2018,1
56,No,y2018,1
59,No,y2018,1
60,No,y2018,1
60,No,y2018,1
61,No,y2018,1
62,No,y2018,0
70,No,y2018,1
71,No,y2018,1
71,No,y2018,1
71,No,y2018,0
76,No,y2018,1
78,No,y2018,0
83,No,y2018,1
20,No,y2019,1
21,Yes,y2019,0
21,Yes,y2019,1
22,No,y2019,1
22,Yes,y2019,0
23,No,y2019,1
23,Yes,y2019,0
24,No,y2019,1
24,Yes,y2019,1
24,Yes,y2019,1
24,No,y2019,1
25,Yes,y2019,1
25,No,y2019,1
25,Yes,y2019,0
26,No,y2019,1
26,No,y2019,1
26,Yes,y2019,1
26,No,y2019,0
28,Yes,y2019,1
28,Yes,y2019,0
29,Yes,y2019,1
29,No,y2019,0
29,No,y2019,1
29,No,y2019,1
30,No,y2019,0
30,No,y2019,1
32,No,y2019,1
34,No,y2019,1
39,Yes,y2019,0
49,No,y2019,1
55,No,y2019,1
63,No,y2019,1
67,No,y2019,1
68,Yes,y2019,1
70,No,y2019,1
74,No,y2019,1
75,No,y2019,1
81,No,y2019,1
81,No,y2019,1
89,No,y2019,0
24,No,y2020,1
25,No,y2020,0
25,Yes,y2020,1
26,Yes,y2020,0
27,Yes,y2020,0
27,No,y2020,0
27,No,y2020,1
29,No,y2020,1
29,Yes,y2020,1
30,Yes,y2020,1
30,Yes,y2020,0
31,No,y2020,1
32,Yes,y2020,0
32,Yes,y2020,0
33,No,y2020,1
33,No,y2020,1
33,Yes,y2020,0
33,Yes,y2020,1
34,No,y2020,0
35,No,y2020,0
36,No,y2020,1
36,No,y2020,1
36,No,y2020,1
37,Yes,y2020,1
48,Yes,y2020,0
49,No,y2020,1
54,No,y2020,1
54,Yes,y2020,1
60,No,y2020,1
67,No,y2020,1
70,No,y2020,1
73,No,y2020,1
77,No,y2020,0
81,No,y2020,1
86,No,y2020,0
90,No,y2020,0