Row,Keep,Genus_species,Common_name,Activity_pattern,Main1,Locomotion,mean_Male_Galan,mean_Female_Galan,Superfamily,Order,Family,Genus,Notes
465,0,Macaca_fascicularis,Long-tailed/Crab-eating Macaque,Diurnal,FFMM,BOTH,4.85,3.22,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
476,0,Macaca_fuscata,Japanese Macaque,Diurnal,FFMM,BOTH,10.97,8.03,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
483,0,Macaca_leonina,Northern Pig-tailed Macaque,Diurnal,FFMM,AR,8.48,4.93,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
485,0,Macaca_maura,Moor Macaque,Diurnal,FFMM,BOTH,9.72,6.05,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
488,0,Macaca_mulatta,Rhesus Macaque,Diurnal,FFMM,BOTH,6.99,4.94,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
499,0,Macaca_munzala,Arunachal Macaque,Diurnal,FFMM,BOTH,15,NA,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
504,0,Macaca_nemestrina,Southern/Sunda Pig-tailed Macaque,Diurnal,FFMM,BOTH,11.2,6.59,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
507,0,Macaca_nigra,Crested black Macaque,Diurnal,FFMM,T,9.89,5.47,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
512,0,Macaca_radiata,Bonnet Macaque,Diurnal,FFMM,BOTH,6.6,3.69,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
522,0,Macaca_siberu,Siberut Macaque,Diurnal,FFMM,AR,7.5,5.25,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
524,0,Macaca_silenus,Lion-tailed Macaque / Ouanderou Macaque,Diurnal,FFMM,AR,8.9,6.1,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
527,0,Macaca_sinica,Toque Macaque,Diurnal,FFMM,AR,5.66,3.3,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
529,0,Macaca_sylvanus,Barbary Macaques,Diurnal,FFMM,BOTH,16,11,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
534,0,Macaca_thibetana,Tibetan Macaques,Diurnal,FFMM,T,18.3,12.8,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
537,0,Macaca_tonkeana,Tonkean Macaque,Diurnal,FFMM,BOTH,14.9,9,Cercopithecoidea,Primates,Cercopithecidae,Macaca,
539,0,Mandrillus_leucophaeus,Drill,Diurnal,FFMM,BOTH,20.75,9.25,Cercopithecoidea,Primates,Cercopithecidae,Mandrillus,
541,0,Mandrillus_sphinx,Mandrill,Diurnal,FFMM,AR,34.4,12.8,Cercopithecoidea,Primates,Cercopithecidae,Mandrillus,
546,0,Mico_argentatus,Silvery Marmoset,Diurnal,MF,AR,0.33,0.36,Ceboidea,Primates,Cebidae,Mico,
571,1,Microcebus_murinus,Gray Mouse Lemur,Nocturnal,solitary,AR,0.063,0.0672,Lemuroidea,Primates,Cheirogaleidae,Microcebus,
574,0,Microcebus_ravelobensis,Golden Brown Mouse Lemur,Nocturnal,solitary,AR,0.0517,0.05833,Lemuroidea,Primates,Cheirogaleidae,Microcebus,
581,0,Miopithecus_talapoin,Southern Talapoin Monkey,Diurnal,FFMM,BOTH,1.38,1.12,Cercopithecoidea,Primates,Cercopithecidae,Miopithecus,
584,0,Mirza_coquereli,Coquerel's Giant Mouse Lemur,Nocturnal,solitary,AR,0.3104,0.3125,Lemuroidea,Primates,Cheirogaleidae,Mirza,
587,0,Nasalis_larvatus,Proboscis Monkey,Diurnal,MFF,AR,21.02,10.48,Cercopithecoidea,Primates,Cercopithecidae,Nasalis,
594,1,Nomascus_concolor,Western Black Crested Gibbon,Diurnal,MFF,AR,7.77,7.62,Hominoidea,Primates,Hylobatidae,Nomascus,
596,0,Nomascus_gabriellae,Southern Yellow-Cheeked Crested Gibbon,Diurnal,MF,AR,NA,5.233,Hominoidea,Primates,Hylobatidae,Nomascus,
598,0,Nomascus_hainanus,Hainan Crested-Gibbon,Diurnal,MFF,AR,6.61,6.56333,Hominoidea,Primates,Hylobatidae,Nomascus,
601,0,Nomascus_nasutus,Eastern Black Crested Gibbon/Cao Vit Gibbon,Diurnal,MFF,AR,NA,NA,Hominoidea,Primates,Hylobatidae,Nomascus,
605,0,Nycticebus_coucang,Sunda Slow Loris,Nocturnal,solitary,AR,0.679,0.626,Lorisoidea,Primates,Lorisidae,Nycticebus,
610,0,Otolemur_crassicaudatus,Brown Greater Galago,Nocturnal,solitary,AR,1.19,1.11,Lorisoidea,Primates,Galagidae,Otolemur,
612,0,Otolemur_garnettii,Northern Greater Galago,Nocturnal,solitary,AR,0.794,0.734,Lorisoidea,Primates,Galagidae,Otolemur,
616,0,Pan_paniscus,Bonobo / Gracile(Pygmy) Chimpanzee,Diurnal,FFMM,BOTH,45,33.2,Hominoidea,Primates,Hominidae,Pan,
622,1,Pan_troglodytes,Chimpanzee,Diurnal,FFMM,BOTH,60,47.4,Hominoidea,Primates,Hominidae,Pan,
631,0,Papio_anubis,Olive baboon,Diurnal,FFMM,BOTH,21.1,12.2,Cercopithecoidea,Primates,Cercopithecidae,Papio,
638,0,Papio_cynocephalus,Yellow baboon,Diurnal,FFMM,T,21.8,12.3,Cercopithecoidea,Primates,Cercopithecidae,Papio,
645,0,Papio_hamadryas,Hamadryas baboon,Diurnal,MFF,T,16.9,9.9,Cercopithecoidea,Primates,Cercopithecidae,Papio,
650,0,Papio_papio,Guinea baboon,Diurnal,FFMM,T,23,12,Cercopithecoidea,Primates,Cercopithecidae,Papio,
653,0,Papio_ursinus,Chacma baboon,Diurnal,FFMM,T,29.8,14.8,Cercopithecoidea,Primates,Cercopithecidae,Papio,
662,0,Perodicticus_potto,Western african Potto,Nocturnal,solitary,AR,0.83,0.836,Lorisoidea,Primates,Lorisidae,Perodicticus,
666,0,Phaner_furcifer,Masoala Fork-Marked Lemur,Nocturnal,MF,AR,0.328,0.351,Lemuroidea,Primates,Cheirogaleidae,Phaner,
670,0,Procolobus_badius,Upper Guinea Red Colobus / Red Colobus monkey,Diurnal,FFMM,AR,8.3,8.2,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
676,0,Procolobus_kirkii,Kirk's Red Colobus,Diurnal,FFMM,AR,7,6.8,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
678,0,Procolobus_rufomitratus,Oustalet's Red Colobus,Diurnal,MFF,AR,12.5,8.2,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
682,0,Procolobus_rufomitratus,Tana River Red Colobus,Diurnal,MFF,AR,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
688,0,Pithecia_aequatorialis,Equatorial Saki,Diurnal,MF,AR,NA,NA,Ceboidea,Primates,Pitheciidae,Pithecia,
692,0,Pithecia_chrysocephala,Golden-faced Saki,Diurnal,MFF,AR,1.9,1.9,Ceboidea,Primates,Pitheciidae,Pithecia,
694,0,Pithecia_irrorata,Gray's Bald-faced Saki,Diurnal,MFF,AR,2.25,2.07,Ceboidea,Primates,Pitheciidae,Pithecia,
698,0,Pithecia_pithecia,White-faced Saki,Diurnal,MF,AR,1.94,1.58,Ceboidea,Primates,Pitheciidae,Pithecia,
710,0,Callicebus_discolor,Red-crowned Titi Monkey,Diurnal,MF,AR,0.93,1.08,Ceboidea,Primates,Pitheciidae,Callicebus,
717,0,Callicebus_oenanthe,Andean Titi Monkey,Diurnal,MF,AR,NA,NA,Ceboidea,Primates,Pitheciidae,Callicebus,
723,0,Pongo_pygmaeus,Western Bornean Orangutan,Diurnal,solitary,AR,78.5,35.8,Hominoidea,Primates,Pongidae,Pongo,
727,0,Presbytis_comata,Grizzled Langur,Diurnal,MF,AR,6.68,6.71,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
731,0,Presbytis_frontata,White-fronted Langur,Diurnal,MF,AR,5.56,5.67,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
733,0,Presbytis_hosei,Hose's Langur,Diurnal,MF,AR,6.18,5.63,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
735,0,Presbytis_melalophos,Banded Langur,Diurnal,MFF,AR,6.59,6.47,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
738,0,Presbytis_natunae,Natuna Leaf Monkey,Diurnal,MF,AR,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
740,0,Presbytis_potenziani,Mentawai Island Langur,Diurnal,MF,AR,6.14,6.41,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
743,0,Presbytis_rubicunda,Red/Maroon Langur,Diurnal,MFF,AR,6.22,6.04,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
748,0,Presbytis_thomasi,Thomas' Langur,Diurnal,MFF,AR,6.77,6.69,Cercopithecoidea,Primates,Cercopithecidae,Presbytis,
752,0,Procolobus_verus,Olive Colobus,Diurnal,MFF,AR,4.7,4.2,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
755,0,Prolemur_simus,Greater Bamboo Lemur,Cathemeral,MFF,AR,1.769,2.2,Lemuroidea,Primates,Lemuridae,Prolemur,
762,1,Propithecus_edwardsi,Milne-Edwards' Sifaka,Diurnal,FFMM,AR,5.59,5.895,Lemuroidea,Primates,Indriidae,Propithecus,
764,0,Propithecus_perrieri,Perrier's Sifaka,Diurnal,MFF,AR,4.22,4.44,Lemuroidea,Primates,Indriidae,Propithecus,
767,0,Propithecus_verreauxi,Verreaux's Sifaka,Diurnal,FFMM,AR,2.885,2.87,Lemuroidea,Primates,Indriidae,Propithecus,
774,0,Pygathrix_nemaeus,Red Shanked Douc,Diurnal,FFMM,AR,11,8.44,Cercopithecoidea,Primates,Cercopithecidae,Pygathrix,
776,0,Pygathrix_nigripes,Black Shanked Douc,Diurnal,FFMM,AR,11.05,8.7,Cercopithecoidea,Primates,Cercopithecidae,Pygathrix,
780,0,Rhinopithecus_avunculus,Tonkin Snub-Nosed Monkey,Diurnal,MFF,AR,14,8.5,Cercopithecoidea,Primates,Cercopithecidae,Rhinopithecus,
783,0,Rhinopithecus_bieti,Yunnan/Black-and-White Snub-Nosed Langur,Diurnal,MFF,BOTH,15,9.96,Cercopithecoidea,Primates,Cercopithecidae,Rhinopithecus,
788,0,Rhinopithecus_brelichi,Gray Snub-Nosed Monkey,Diurnal,MFF,BOTH,14.5,8,Cercopithecoidea,Primates,Cercopithecidae,Rhinopithecus,
790,0,Rhinopithecus_roxellana,Golden Snub-Nosed Monkey,Diurnal,MFF,BOTH,17.9,11.6,Cercopithecoidea,Primates,Cercopithecidae,Rhinopithecus,
793,0,Rhinopithecus_strykeri,Burmese Snub-Nosed Monkey,Diurnal,MFF,BOTH,14,8.5,Cercopithecoidea,Primates,Cercopithecidae,Rhinopithecus,
795,0,Rungwecebus_kipunji,Kipunji/Highland Mangabey,Diurnal,FFMM,AR,10,NA,Cercopithecoidea,Primates,Cercopithecidae,Rungwecebus,
798,0,Leontocebus_nigricollis,Brown Mantled Tamarin,Diurnal,FMM,NA,NA,NA,Ceboidea,Primates,Cebidae,Leontocebus,
803,0,Saguinus_imperator,Emperor Tamarin,Diurnal,MFF,AR,0.474,0.475,Ceboidea,Primates,Cebidae,Saguinus,
806,0,Saguinus_labiatus,Red-bellied Tamarin,Diurnal,FMM,AR,0.49,0.529,Ceboidea,Primates,Cebidae,Saguinus,
813,0,Saguinus_mystax,Mustached Tamarin,Diurnal,FFMM,AR,0.522,0.545,Ceboidea,Primates,Cebidae,Saguinus,
817,0,Leontocebus_nigricollis,Black Mantled Tamarin,Diurnal,MF,NA,NA,NA,Ceboidea,Primates,Cebidae,Leontocebus,
819,0,Saguinus_oedipus,Cotton-top Tamarin,Diurnal,FFMM,AR,0.418,0.404,Ceboidea,Primates,Cebidae,Saguinus,
824,0,Saimiri_sciureus,Guianan Squirrel Monkey,Diurnal,FFMM,AR,0.92,0.723,Ceboidea,Primates,Cebidae,Saimiri,
828,1,Sapajus_apella,Cuianan Brown Capuchin,Diurnal,FFMM,AR,3.64,2.39,Ceboidea,Primates,Cebidae,Sapajus,
834,0,Sapajus_cay,Hooded Capuchin,Diurnal,FFMM,AR,NA,NA,Ceboidea,Primates,Cebidae,Sapajus,
836,0,Sapajus_flavius,Blond Capuchin,Diurnal,FFMM,AR,2.95,2.15,Ceboidea,Primates,Cebidae,Sapajus,
838,0,Sapajus_libidinosus,Bearded Capuchin,Diurnal,FFMM,AR,3.1,1.975,Ceboidea,Primates,Cebidae,Sapajus,
842,0,Sapajus_nigritus,Black-horned Capuchin,Diurnal,FFMM,AR,NA,NA,Ceboidea,Primates,Cebidae,Sapajus,
854,0,Semnopithecus_ajax,Himalayan/Kashmir Grey Langur,Diurnal,FFMM,BOTH,20.15,NA,Cercopithecoidea,Primates,Cercopithecidae,Semnopithecus,
856,0,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,Diurnal,MFF,T,13,9.89,Cercopithecoidea,Primates,Cercopithecidae,Semnopithecus,
864,0,Semnopithecus_hypoleucos,Black-Footed Grey Langur / Malabar Sacred Langur,Diurnal,MFF,BOTH,14.75,11.45,Cercopithecoidea,Primates,Cercopithecidae,Semnopithecus,
867,0,Semnopithecus_schistaceus,Nepal Grey langur,Diurnal,FFMM,BOTH,19.2,14.8,Cercopithecoidea,Primates,Cercopithecidae,Semnopithecus,
869,0,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,Diurnal,MFF,AR,9.15,6.8,Cercopithecoidea,Primates,Cercopithecidae,Simias,
873,0,Symphalangus_syndactylus,Siamang,Diurnal,MF,AR,11.9,10.7,Hominoidea,Primates,Hylobatidae,Symphalangus,
877,0,Tarsius_bancanus,Western Tarsier,Nocturnal,solitary,NA,NA,NA,Tarsioidea,Primates,Tarsiidae,Tarsius,
880,1,Tarsius_lariang,Lariang Tarsier,Nocturnal,MF,AR,0.118,0.102,Tarsioidea,Primates,Tarsiidae,Tarsius,
883,0,Tarsius_pumilus,Sulawesi Mountain/Pygmy Tariser,Nocturnal,FMM,AR,0.0491,0.052,Tarsioidea,Primates,Tarsiidae,Tarsius,
885,0,Tarsius_sangirensis,Great Sangihe Tarsier,Nocturnal,MF,AR,0.135,0.15,Tarsioidea,Primates,Tarsiidae,Tarsius,
887,0,Tarsius_syrichta,Philippine Tarsier,Nocturnal,solitary,AR,NA,NA,Tarsioidea,Primates,Tarsiidae,Tarsius,
890,0,Tarsius_tarsier,Spectral/Selayar Tarsier,Nocturnal,MF,AR,0.126,0.119,Tarsioidea,Primates,Tarsiidae,Tarsius,
894,0,Theropithecus_gelada,Gelada Baboon,Diurnal,MFF,T,19,11.7,Cercopithecoidea,Primates,Cercopithecidae,Theropithecus,
898,0,Trachypithecus_auratus,Javan Lutung,Diurnal,MFF,AR,7.1,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
902,0,Trachypithecus_cristatus,Silvered leaf Monkey,Diurnal,FFMM,AR,6.72,5.78,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
905,0,Trachypithecus_francoisi,FranÁois' Langur,Diurnal,MFF,BOTH,7.7,7.35,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
908,0,Trachypithecus_geei,Golden Langur,Diurnal,MFF,AR,10.8,9.5,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
910,0,Trachypithecus_germaini,Germain's Langur,Diurnal,MFF,AR,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
914,0,Trachypithecus_johnii,Nilgiri Langur,Diurnal,FFMM,NA,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
919,0,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,Diurnal,MFF,AR,7.77,6.22,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
922,0,Trachypithecus_phayrei,Phayre's leaf Monkey,Diurnal,MFF,AR,7.93,6.95,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
924,0,Trachypithecus_pileatus,Capped Langur,Diurnal,MFF,AR,12,9.86,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
926,0,Trachypithecus_poliocephalus,Cat Ba Langur,Diurnal,MFF,BOTH,8.75,7.35,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
930,0,Trachypithecus_shortridgei,Shortridge's capped Langur,Diurnal,MFF,AR,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
932,0,Trachypithecus_vetulus,Purple-faced Leaf Monkey,Diurnal,MFF,NA,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
936,1,Varecia_variegata,Black-and-white Ruffed Lemur,Diurnal,FFMM,AR,3.63,3.52,Lemuroidea,Primates,Lemuridae,Varecia,
937,1,Mus_musculus,,,FFMM,,0.0171,0.0143,,Rodentia,,Mus,
938,1,Oryctolagus_cuniculus,,,FFMM,,1.175,1.175,,Lagomorpha,,Oryctolagus,
939,1,Tupaia_belangeri,,,solitary,,0.2,0.2,,Scandentia,,Tupaia,
940,1,Galeopterus_variegatus,,,solitary,,1.025,1.025,,Dermoptera,,Galeopterus,